"id","title","description","price","image_link","additional_image_link","link","availability","condition","product_type"
"363749","Stylish Printed T-Shirt Yellow Medium to XL","Premium Stylish Printed T-Shirt Yellow Medium to XL available at best price.","1386 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363749.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363749_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363749_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363749_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363749_alt_3.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363749_alt_4.jpg "" ","https://yourwebsite.com/products/363749","in stock","new","shirts"
"628790","Women Cotton Embroidered Shirt Trouser Set Cream","Premium Women Cotton Embroidered Shirt Trouser Set Cream available at best price.","3402 PKR","https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1689-11-628790-product-1.jpg"," "" https://content.public.markaz.app/markazimagevideo/public/products/1689-11-628790-product-1.jpg,https://content.public.markaz.app/markazimagevideo/public/products/1689-11-628790-product-2.jpg,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1689-11-628790-product-2.jpg,https://content.public.markaz.app/markazimagevideo/public/products/1689-11-628790-product-1-withcode.jpg,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1689-11-628790-product-1-withcode.jpg "" ","https://yourwebsite.com/products/628790","in stock","new","shirts"
"335283","Premium Quality Polyester T-Shirt Small to XXL","Premium Premium Quality Polyester T-Shirt Small to XXL available at best price.","794 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_335283.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_335283_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_335283_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_335283_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_335283_alt_3.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_335283_alt_4.jpg "" ","https://yourwebsite.com/products/335283","in stock","new","shirts"
"606451","Black Wash & Wear Shirt for Men Pakistan","Premium Black Wash & Wear Shirt for Men Pakistan available at best price.","2954 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606451.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606451_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606451_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606451_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606451_alt_3.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606451_alt_4.jpg "" ","https://yourwebsite.com/products/606451","in stock","new","shirts"
"569139","Men Cotton Polo Shirt Orange Gradient Fade","Premium Men Cotton Polo Shirt Orange Gradient Fade available at best price.","2520 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_569139.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_569139_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_569139_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_569139_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_569139_alt_3.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_569139_alt_4.jpg "" ","https://yourwebsite.com/products/569139","in stock","new","shirts"
"606773","Kids Embroidered Front Neck & Sleeve Shirt Set","Premium Kids Embroidered Front Neck & Sleeve Shirt Set available at best price.","3052 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606773.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606773_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606773_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_606773_alt_2.jpg "" ","https://yourwebsite.com/products/606773","in stock","new","shirts"
"625730","Men's Cotton Polo Shirt Blue Yellow Trim","Premium Men's Cotton Polo Shirt Blue Yellow Trim available at best price.","840 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_625730.jpeg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_625730_alt_0.jpeg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_625730_alt_1.jpeg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_625730_alt_2.jpeg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_625730_alt_3.jpeg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_625730_alt_4.jpeg "" ","https://yourwebsite.com/products/625730","in stock","new","shirts"
"385894","Minnie T-Shirt Cotton Pink for Kids","Premium Minnie T-Shirt Cotton Pink for Kids available at best price.","1470 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_385894.jpeg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_385894_alt_0.jpeg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_385894_alt_1.jpeg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_385894_alt_2.jpeg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_385894_alt_3.jpeg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_385894_alt_4.jpeg "" ","https://yourwebsite.com/products/385894","in stock","new","shirts"
"496291","Maroon Embroidered Linen Shirt & Trouser Set","Premium Maroon Embroidered Linen Shirt & Trouser Set available at best price.","2702 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_496291.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_496291_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_496291_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_496291_alt_2.jpg "" ","https://yourwebsite.com/products/496291","in stock","new","shirts"
"621857","Pakistani Women Printed Floral Shirt & Trouser Set","Premium Pakistani Women Printed Floral Shirt & Trouser Set available at best price.","3542 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_621857.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_621857_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_621857_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_621857_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_621857_alt_3.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_621857_alt_4.jpg "" ","https://yourwebsite.com/products/621857","in stock","new","shirts"
"536918","Men Black T-Shirt Trouser Set Micro Fabric S to XL","Premium Men Black T-Shirt Trouser Set Micro Fabric S to XL available at best price.","1484 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_536918.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_536918_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_536918_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_536918_alt_2.jpg "" ","https://yourwebsite.com/products/536918","in stock","new","shirts"
"409917","Orange Printed Linen Shirt & Trouser Set for Women","Premium Orange Printed Linen Shirt & Trouser Set for Women available at best price.","1512 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_409917.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_409917_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_409917_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_409917_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_409917_alt_3.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_409917_alt_4.jpg "" ","https://yourwebsite.com/products/409917","in stock","new","shirts"
"459586","Green Printed Linen Shirt for Women Pakistan","Premium Green Printed Linen Shirt for Women Pakistan available at best price.","1288 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_459586.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_459586_alt_0.jpg "" ","https://yourwebsite.com/products/459586","in stock","new","shirts"
"486053","Embroidered Linen Shirt and Trouser Set for Women","Premium Embroidered Linen Shirt and Trouser Set for Women available at best price.","3318 PKR","https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/953-11-486053-product-1.jpg"," "" https://content.public.markaz.app/markazimagevideo/public/products/953-11-486053-product-1.jpg,https://content.public.markaz.app/markazimagevideo/public/products/953-11-486053-product-2.jpg,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/953-11-486053-product-2.jpg "" ","https://yourwebsite.com/products/486053","in stock","new","shirts"
"451182","Men Cotton Jersey Shirt Yellow Medium to XL","Premium Men Cotton Jersey Shirt Yellow Medium to XL available at best price.","882 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_451182.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_451182_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_451182_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_451182_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_451182_alt_3.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_451182_alt_4.jpg "" ","https://yourwebsite.com/products/451182","in stock","new","shirts"
"441812","PUBG Print Red T-Shirt & Black Joggers Set Medium to XL","Premium PUBG Print Red T-Shirt & Black Joggers Set Medium to XL available at best price.","1400 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_441812.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_441812_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_441812_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_441812_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_441812_alt_3.jpeg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_441812_alt_4.jpeg "" ","https://yourwebsite.com/products/441812","in stock","new","shirts"
"408745","Pakistan Independence Day T-Shirt White Polyester Kids Adults","Premium Pakistan Independence Day T-Shirt White Polyester Kids Adults available at best price.","616 PKR","https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/172-405-408745-product-1.jpg"," "" https://content.public.markaz.app/markazimagevideo/public/products/172-405-408745-product-1.jpg,https://content.public.markaz.app/markazimagevideo/public/products/172-405-408745-product-2.jpg,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/172-405-408745-product-2.jpg,https://content.public.markaz.app/markazimagevideo/public/products/172-405-408745-product-1-withcode.jpg,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/172-405-408745-product-1-withcode.jpg "" ","https://yourwebsite.com/products/408745","in stock","new","shirts"
"621859","Black Gold Striped Shirt & Trouser Set for Women","Premium Black Gold Striped Shirt & Trouser Set for Women available at best price.","3542 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_621859.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_621859_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_621859_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_621859_alt_2.jpg "" ","https://yourwebsite.com/products/621859","in stock","new","shirts"
"733067","2 Pcs Women's Stitched Lawn Embroidered Shirt And Trouser","Premium 2 Pcs Women's Stitched Lawn Embroidered Shirt And Trouser available at best price.","3401 PKR","https://content.public.markaz.app/markazimagevideo/public/products/711-11-733067-product-714.jpg"," "" https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/711-11-733067-product-714.jpg "" ","https://yourwebsite.com/products/733067","in stock","new","shirts"
"400037","Swiss Lawn Printed Shirt Butterfly Floral Design","Premium Swiss Lawn Printed Shirt Butterfly Floral Design available at best price.","1400 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_400037.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_400037_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_400037_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_400037_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_400037_alt_3.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_400037_alt_4.jpg "" ","https://yourwebsite.com/products/400037","in stock","new","shirts"
"160734","White T-Shirt with Black Antler Head Print Slim Fit","Premium White T-Shirt with Black Antler Head Print Slim Fit available at best price.","1399 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_160734.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_160734_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_160734_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_160734_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_160734_alt_3.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_160734_alt_4.jpg "" ","https://yourwebsite.com/products/160734","in stock","new","shirts"
"575025","Black Jersey T-Shirt for Baby Boys with Snap Closure","Premium Black Jersey T-Shirt for Baby Boys with Snap Closure available at best price.","560 PKR","https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/172-385-575025-product-1.jpg"," "" https://content.public.markaz.app/markazimagevideo/public/products/172-385-575025-product-1.jpg,https://content.public.markaz.app/markazimagevideo/public/products/172-385-575025-product-2.jpg,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/172-385-575025-product-2.jpg,https://content.public.markaz.app/markazimagevideo/public/products/172-385-575025-product-3.jpg,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/172-385-575025-product-3.jpg "" ","https://yourwebsite.com/products/575025","in stock","new","shirts"
"653177","Off-White Korean Short Sleeve T-Shirt for Kids","Premium Off-White Korean Short Sleeve T-Shirt for Kids available at best price.","3444 PKR","https://cbu01.alicdn.com/img/ibank/O1CN01BEICWC1sjN1Jhes4h_!!2218020975802-0-cib.jpg"," "" https://cbu01.alicdn.com/img/ibank/O1CN01IfA7pr1sjN1Lw3Q84_!!2218020975802-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Pl0lnc1sjN1L3tgdd_!!2218020975802-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN019ow6wQ1sjN1Lw1LE7_!!2218020975802-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Am1CHS1sjN1JT0wnj_!!2218020975802-0-cib.jpg "" ","https://yourwebsite.com/products/653177","in stock","new","shirts"
"632927","Linen Printed Shirt & Trouser Set Purple 2PC","Premium Linen Printed Shirt & Trouser Set Purple 2PC available at best price.","2352 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_632927.jpeg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_632927_alt_0.jpeg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_632927_alt_1.jpeg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_632927_alt_2.jpeg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_632927_alt_3.jpeg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_632927_alt_4.jpeg "" ","https://yourwebsite.com/products/632927","in stock","new","shirts"
"653121","Boys Dinosaur T-Shirt Orange Black Shorts Set","Premium Boys Dinosaur T-Shirt Orange Black Shorts Set available at best price.","3166 PKR","https://cbu01.alicdn.com/img/ibank/O1CN01ZFFFSJ1oN9KPilfCp_!!2615215212-0-cib.jpg"," "" https://cbu01.alicdn.com/img/ibank/O1CN01h0BQMl1oN9JzjFYpp_!!2615215212-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01woTiku1oN9JxgdiQm_!!2615215212-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01RKPdho1oN9JyxMjAn_!!2615215212-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01tz5uW71oN9Jwofvxx_!!2615215212-0-cib.jpg "" ","https://yourwebsite.com/products/653121","in stock","new","shirts"
"653175","Off-White Korean Short Sleeve T-Shirt for Kids","Premium Off-White Korean Short Sleeve T-Shirt for Kids available at best price.","3111 PKR","https://cbu01.alicdn.com/img/ibank/O1CN01BEICWC1sjN1Jhes4h_!!2218020975802-0-cib.jpg"," "" https://cbu01.alicdn.com/img/ibank/O1CN01IfA7pr1sjN1Lw3Q84_!!2218020975802-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Pl0lnc1sjN1L3tgdd_!!2218020975802-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN019ow6wQ1sjN1Lw1LE7_!!2218020975802-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01Am1CHS1sjN1JT0wnj_!!2218020975802-0-cib.jpg "" ","https://yourwebsite.com/products/653175","in stock","new","shirts"
"662050","Backless T-Shirt Dress Set Multi Color Loose Fit","Premium Backless T-Shirt Dress Set Multi Color Loose Fit available at best price.","2898 PKR","https://cbu01.alicdn.com/img/ibank/9023318210_1327919008.jpg"," "" https://cbu01.alicdn.com/img/ibank/8985846311_1327919008.jpg,https://cbu01.alicdn.com/img/ibank/9005938337_1327919008.jpg,https://cbu01.alicdn.com/img/ibank/9005896853_1327919008.jpg,https://cbu01.alicdn.com/img/ibank/8985813924_1327919008.jpg "" ","https://yourwebsite.com/products/662050","in stock","new","shirts"
"648090","Purple ""What's Up"" Kids T-Shirt & Shorts Set","Premium Purple ""What's Up"" Kids T-Shirt & Shorts Set available at best price.","3020 PKR","https://cbu01.alicdn.com/img/ibank/O1CN01ESpLAt2J6tFuMcykG_!!2217265589373-0-cib.jpg"," "" https://cbu01.alicdn.com/img/ibank/O1CN01gz5YUw2J6tFrNfrtX_!!2217265589373-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01uun0gh2J6tFthN8n0_!!2217265589373-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01bHqQQJ2J6tFqNtqXM_!!2217265589373-0-cib.jpg,https://cbu01.alicdn.com/img/ibank/O1CN01uku7oY2J6tFuRBwji_!!2217265589373-0-cib.jpg "" ","https://yourwebsite.com/products/648090","in stock","new","shirts"
"363756","Black Lion Head T-Shirt Medium to XL Micro Polyester","Premium Black Lion Head T-Shirt Medium to XL Micro Polyester available at best price.","1386 PKR","https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363756.jpg"," "" https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363756_alt_0.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363756_alt_1.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363756_alt_2.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363756_alt_3.jpg,https://raw.githubusercontent.com/SehrishMughal/OnlineStore/main/images/prod_363756_alt_4.jpg "" ","https://yourwebsite.com/products/363756","in stock","new","shirts"
